Name,ID
University of Birmingham,60019702
University of Birmingham Dubai,60293336
College of Social Sciences,60172639
Birmingham Business School,60172646
Jinan University-University of Birmingham Joint Institute,60127359
The Centre for Printing History and Culture,60160804
Cancer Immunology and Immunotherapy Centre,60170340
NIHR Birmingham Biomedical Research Centre,60172612
MRC Versus Arthritis Centre for Musculoskeletal Ageing Research,60172645
High Temperature Research Centre,60172642
Shakespeare Institute,60172643
NIHR Surgical Reconstruction and Microbiology Research Centre,60170528
Research Into Inflammatory Arthritis Centre Versus Arthritis,60172641
WUT-Birmingham Joint Key Laboratory for Intelligent Machines,60129449
"University of Birmingham, College of Medical and Dental Sciences",60033481
Birmingham Medical School,60172647
Centre of Membrane Proteins and Receptors,60172648
